sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B18a	911566_B	913382_B	B18	C40	C3	C1	C42.2	C1b	C21	C29	C3cg	C3.10	C3k	C115	C21.12	C115k	C3fc	C50x	C45c	C115l	C115d	C1j	348152_C	C3b	101_C	C116a	C1az	C1au	C40e	C41p	911557_C	307_C	C1d	C3db	C40b	C1ci	43278_C	C21ab	141_C	C42ap	40851_C	1010_C	265_C	21196_C	54_C	21709_C	1083994_C	21186_C	23498_C	C3.9	375_C	21209_C	C3dp	C45.3	C42u	324_C	181_C	985_C	20900_C	C3cp	C3fj	33434_C	657_C	223_C	59_C	21205_C	21204_C	911558_C	21810_C	37121_C	316_C	22181_C	C21e	40995_C	C3dc	132_C	483_C	196_C	32893_C	71641_C	76_C	C3.11	40847_C	481153_C	C115a	114_C	653_C	49135_C	C3at	348_C	317_C	92330_C	65_C	21201_C	484403_C	911559_C	66_C	7_C	22807_C	138_C	111_C	21203_C	227_C	C3av	37676_C	C21af	49235_C	C18a	656_C	21731_C	279_C	70438_C	376_C	C50a	2097_C	C3.14	43301_C	C1c	C42a	1859_C	41217_C	511_C	24569_C	384_C	21208_C	20890_C	C3ab	91228_C	15680_C	C3eg	33391_C	103687_C	3606_C	41226_C	C3ey	4559_C	41224_C	52549_C	41816_C	480723_C	3289_C	61454_C	224_C	566_C	90823_C	1083993_C	24876_C	482757_C	22186_C	40585_C	192_C	99_C	37877_C	49139_C	22188_C	335613_C	95432_C	33341_C	336210_C	344_C	41218_C	359_C	42895_C	41239_C	68509_C	1083996_C	C3ea	33778_C	C3cz	C3bd	139_C	41053_C	22201_C	C115g	1083995_C	37010_C	68216_C	336754_C	514771_C	41215_C	D1
109075	113	103226	96999	567	96957	564	42	3	0	0	93704	7	0	0	1493	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	83109	3715	0	0	0	0	0	0	0	0	3671	0	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	1069	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109030	23	120533	113663	627	113612	623	51	4	0	0	110722	7	0	0	2229	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	98468	4130	0	0	0	0	0	0	0	0	3922	0	0	0	0	0	0	0	0	1662	0	0	0	0	0	757	0	0	0	0	0	1216	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109031	25	115086	107953	611	107871	606	82	5	0	0	104918	9	0	0	2109	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	91259	5041	0	0	0	0	0	0	0	0	3529	0	0	0	0	0	0	0	0	1471	0	0	0	0	0	591	0	0	0	0	0	1333	0	0	549	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109047	57	82096	76922	462	76922	462	0	0	0	0	74418	10	0	0	2999	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	58394	8313	0	0	0	0	0	0	0	0	3431	0	0	0	0	0	0	0	0	863	329	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0
109050	63	108254	102054	600	102035	598	19	2	0	0	100066	10	0	0	2881	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	85573	4532	0	0	0	0	0	0	0	0	3391	0	0	0	0	0	0	0	0	1768	0	0	0	0	0	887	0	0	0	0	0	1596	0	0	604	0	0	0	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109032	27	134321	126174	699	126137	695	37	4	0	0	123878	9	0	0	4950	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	104720	6169	0	0	0	0	0	0	0	0	3603	0	0	0	0	0	0	0	0	3489	0	0	0	0	0	1953	0	0	0	0	0	1803	0	0	680	0	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109049	61	126127	119103	658	119090	656	13	2	0	0	114317	9	0	0	5572	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	91777	10250	0	0	0	0	0	0	0	0	3592	0	0	0	0	0	0	0	0	2983	0	0	0	0	0	1127	0	0	0	0	0	0	0	0	1523	0	0	0	1884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109048	59	132988	124457	712	124416	707	41	5	0	0	121502	8	0	0	5810	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	100872	5146	0	0	0	0	0	0	0	0	5888	0	0	0	0	0	0	0	0	3859	0	0	0	0	0	1993	0	0	0	0	0	1793	0	0	0	0	0	0	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109020	1	131009	122107	707	122077	704	30	3	0	0	118661	10	0	0	5555	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	99258	5710	0	0	0	0	0	0	0	0	4256	0	0	0	0	0	0	0	0	3189	0	0	0	0	0	1766	0	0	0	0	0	1576	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109025	13	169228	159340	782	159302	777	38	5	0	0	156179	9	0	0	6552	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	131490	6401	0	0	0	0	0	0	0	0	5762	0	0	0	0	0	0	0	0	4449	0	0	0	0	0	2517	0	0	0	0	0	2580	0	0	877	0	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109023	9	101201	94217	609	94210	608	7	1	0	0	91934	9	0	0	3604	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	77145	4430	0	0	0	0	0	0	0	0	2672	0	0	0	0	0	0	0	0	2558	0	0	1441	0	0	1370	0	0	0	0	0	1272	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109027	17	162741	153232	772	153177	767	55	5	0	0	148112	9	0	0	9082	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	123340	7241	0	0	0	0	0	0	0	0	5143	0	0	0	0	0	0	0	0	4751	0	0	0	0	0	2683	0	0	0	0	0	0	0	0	0	0	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109033	29	145308	135501	858	135464	854	37	4	0	0	130240	10	0	0	5283	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	101727	11535	0	0	0	0	0	0	0	0	5681	0	0	0	0	0	0	0	0	3496	0	0	0	0	0	1971	0	0	0	0	0	2176	0	0	1027	0	0	0	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109021	3	116263	109315	655	109280	651	35	4	0	0	106556	10	0	0	4856	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	87035	5433	0	0	0	0	0	0	0	0	4627	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	1617	0	0	0	0	0	1886	0	0	617	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109034	31	152612	142399	769	142381	766	15	2	3	1	138819	9	0	0	11001	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	110150	10111	0	0	0	0	0	0	0	0	4438	0	0	0	0	0	0	0	0	3761	0	0	0	0	0	1993	0	0	0	0	0	0	0	0	1126	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109024	11	138919	130972	758	130938	756	8	1	26	1	126418	10	0	0	3160	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	0	0	0	0	101489	7251	0	0	0	0	0	0	0	0	4722	0	0	0	0	0	0	0	0	2339	0	0	4822	0	0	1163	0	0	0	0	0	2221	0	0	822	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109037	37	144075	134585	850	134494	843	91	7	0	0	128856	15	0	59	5808	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Echinopora 	lamellosa	999.00000000	999.00000000	NoData	NoData	83	0	59	0	96563	8242	0	0	0	0	0	0	0	0	8724	0	0	0	0	0	0	0	0	2921	0	0	3331	0	0	1392	0	0	0	0	0	1711	0	0	999	0	0	0	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0
109051	65	139369	127890	907	127890	907	0	0	0	0	123195	26	0	0	9698	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	2536	37833	28378	11426	0	0	13662	0	0	0	0	5618	0	0	5198	0	0	1987	0	0	0	0	0	1076	0	759	0	1467	1069	0	0	1143	0	0	0	2812	0	0	0	0	0	989	0	0	0	0	730	0	0	0	0	559	0	0	0	0	0	534	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	785	0	731	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0
109071	105	131785	119916	936	119916	936	0	0	0	0	114623	26	0	0	9736	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	2925	34534	24658	13118	0	0	8196	0	0	0	0	2863	0	0	4066	693	0	2563	0	0	0	0	0	2037	0	2159	0	1351	4465	0	0	978	0	0	0	1632	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	905	0	0	0	0	0	0	0	613	0	0	0	0	724	0	866	487	0	0	0	0	0	0	756	658	0	0	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109067	97	124766	114075	790	114075	790	0	0	0	0	110901	27	0	0	10412	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	2514	34434	23568	10102	0	0	11282	0	0	0	0	3378	0	0	4865	782	0	1791	0	0	0	0	0	1003	0	2120	0	1411	1118	0	0	1612	0	0	0	1920	0	0	0	0	0	1168	0	0	0	0	748	0	0	0	0	731	0	0	0	0	0	811	632	0	0	0	0	0	0	0	689	0	0	0	0	0	0	940	559	0	0	0	0	0	0	0	619	0	0	0	705	0	0	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
